carat,cut,color,clarity,depth,table,x,y,z,price,pred_m3,pred_final,desvio_pct
0.31,Premium,F,IF,60.8,59.0,4.36,4.39,2.66,874,909.35,924.92,-5.51
1.29,Ideal,H,VS1,61.8,56.0,6.97,7.02,4.32,9273,8600.95,8536.0,8.63
1.52,Premium,F,SI1,62.6,59.0,7.36,7.27,4.58,11743,10757.97,11181.13,5.03
0.41,Good,F,VVS2,63.6,56.0,4.72,4.68,2.99,1064,1224.87,1173.82,-9.36
0.35,Premium,G,VS1,61.5,58.0,4.54,4.5,2.78,906,786.9,873.54,3.72
1.0,Ideal,G,SI2,60.3,57.0,6.51,6.45,3.91,3528,3957.03,4182.76,-15.65
0.74,Very Good,E,VS2,61.4,63.0,5.79,5.77,3.55,2638,3276.63,2980.74,-11.5
0.39,Premium,F,VS1,61.7,58.0,4.69,4.71,2.9,894,1032.7,971.53,-7.98
0.7,Good,D,SI2,63.6,62.0,5.61,5.55,3.55,2247,2193.67,2160.44,4.01
1.31,Premium,H,SI2,61.7,59.0,7.03,6.98,4.32,4548,5895.12,5615.85,-19.01
0.42,Very Good,F,SI1,63.1,56.0,4.82,4.79,3.03,926,933.92,893.31,3.66
0.35,Ideal,F,VVS2,61.9,54.0,4.55,4.59,2.83,795,988.11,849.04,-6.36
0.3,Premium,E,SI1,60.6,58.0,4.3,4.34,2.62,526,527.32,546.72,-3.79
1.2,Very Good,F,SI1,63.1,58.0,6.75,6.68,4.24,5638,6743.02,6159.22,-8.46
0.5,Very Good,H,VS2,62.3,57.0,5.03,5.12,3.16,1337,1288.09,1293.34,3.38
0.31,Premium,F,VS2,62.3,60.0,4.32,4.35,2.7,625,625.26,629.3,-0.68
0.71,Ideal,F,VS1,60.9,56.0,5.76,5.79,3.52,3710,3263.64,3404.04,8.99
0.32,Ideal,J,VS2,62.2,57.0,4.38,4.36,2.72,504,446.88,491.42,2.56
1.01,Premium,F,SI2,61.3,60.0,6.4,6.43,3.93,4416,4219.8,4273.0,3.35
0.3,Ideal,J,VS2,61.9,56.0,4.33,4.3,2.67,630,395.74,479.43,31.41
0.91,Good,E,SI2,64.3,57.0,6.0,6.04,3.87,3632,3396.76,3330.3,9.06
2.0,Very Good,J,VVS2,63.0,59.0,7.97,8.0,5.03,15076,16568.3,15248.45,-1.13
0.41,Ideal,H,SI1,61.5,55.0,4.78,4.81,2.95,763,798.81,748.32,1.96
0.3,Ideal,F,VVS1,61.8,57.0,4.3,4.34,2.67,814,790.99,839.86,-3.08
0.78,Ideal,E,VS2,62.0,55.0,5.89,5.95,3.67,3334,3782.75,3632.45,-8.22
1.13,Ideal,H,VS1,61.6,55.0,6.7,6.74,4.14,7571,6702.7,6799.93,11.34
0.79,Very Good,E,SI1,63.3,56.3,5.85,5.88,3.71,3138,3194.15,2969.89,5.66
0.33,Ideal,D,VVS2,60.9,57.0,4.48,4.46,2.72,1021,974.38,1078.05,-5.29
0.71,Very Good,G,SI1,62.7,59.0,5.65,5.67,3.55,2201,2344.81,2324.5,-5.31
0.92,Premium,G,VS2,61.6,62.0,6.3,6.24,3.86,4287,4530.07,4493.46,-4.59
0.3,Ideal,D,VS2,61.5,55.0,4.35,4.3,2.66,911,662.3,912.21,-0.13
1.02,Ideal,H,VS2,62.3,54.0,6.48,6.39,4.01,4604,5156.16,5454.81,-15.6
0.33,Ideal,G,VVS1,61.5,56.0,4.45,4.46,2.74,868,884.22,897.39,-3.28
1.07,Very Good,D,IF,59.0,59.0,6.63,6.72,3.94,17909,10100.52,16129.84,11.03
0.74,Ideal,J,VS1,61.7,57.0,5.79,5.84,3.59,2468,2322.46,2230.33,10.66
0.91,Ideal,G,VS2,61.4,57.0,6.23,6.28,3.84,5023,4538.77,5060.8,-0.75
1.04,Premium,H,SI1,59.5,58.0,6.67,6.58,3.94,4980,4507.07,4565.97,9.07
1.16,Very Good,I,SI1,62.7,57.0,6.67,6.76,4.21,4785,4800.66,4914.57,-2.64
0.5,Premium,F,SI1,62.4,57.0,5.13,5.1,3.19,1838,1325.73,1343.27,36.83
0.58,Ideal,G,VS1,61.8,55.0,5.35,5.39,3.32,1911,2083.32,1940.97,-1.54
0.52,Good,H,VS2,63.7,54.0,5.12,5.09,3.25,1385,1334.26,1341.65,3.23
0.7,Very Good,F,VS2,62.3,56.0,5.66,5.71,3.54,2362,2835.34,2687.33,-12.11
